"","stock","pattern","strength","Date","zone_1","zone_2","fit","Percentage Change","Voided_Time"
"26","ITC.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,242.35,246.6,"Active",NA,NA
"46","BAJFINANCE.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,7575,7761.35,"Active",NA,NA
"58","AXISBANK.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,792,804.8,"Active",NA,NA
"69","INDUSINDBK.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,1172.45,1201.7,"Active",NA,NA
"85","TCS.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-10-20 14:45:00,3578.3,3612,"Active",NA,NA
"145","BRITANNIA.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-10-20 14:45:00,3740,3800,"Active",NA,NA
"169","ADANIPORTS.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,777.5,794.9,"Active",NA,NA
"237","ULTRACEMCO.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,7092.25,7129.6,"Active",NA,NA
"252","ASIANPAINT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-20 14:45:00,3136.65,3190,"Active",NA,NA
"34","BAJAJ-AUTO.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-10-19 14:45:00,3892.25,3930.2,"Active",NA,NA
"156","SBILIFE.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-19 14:45:00,1186.55,1193.5,"Active",NA,NA
"194","HDFC.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-19 14:45:00,2800,2825,"Active",NA,NA
"209","INFY.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-19 14:45:00,1782.3,1822.15,"Active",NA,NA
"3","%5ENSEBANK","Supply Reversal Pattern(R-B-D)","Strong",2021-10-18 14:45:00,39569.55,39794.25,"Active",-0.06,NA
"8","%5ENSEI","Supply Reversal Pattern(R-B-D)","Strong",2021-10-18 14:45:00,18445.3,18500.1,"Active",1.91,NA
"12","TATAMOTORS.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-18 14:45:00,503.6,509.6,"Active",1.94,NA
"30","GRASIM.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-10-18 14:45:00,1746,1762,"Active",1.11,NA
"229","COALINDIA.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-18 14:45:00,183.4,185.3,"Active",1.5,NA
"251","ASIANPAINT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-18 14:45:00,3232,3252.5,"Active",7.73,NA
"72","SUNPHARMA.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-14 14:45:00,838.25,843.9,"Active",2.79,NA
"111","M&M.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-14 14:45:00,922.2,938.5,"Active",2.86,NA
"136","LT.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-14 14:45:00,1767.45,1789.3,"Voided",-1.93,2021-10-19
"155","SBILIFE.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-14 14:45:00,1173.8,1192.95,"Voided",2.68,2021-10-19
"203","HINDUNILVR.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-14 14:45:00,2620,2649.55,"Voided",6.84,2021-10-18
"122","EICHERMOT.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-10-13 14:45:00,2855.25,2911,"Active",7.83,NA
"250","ASIANPAINT.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-10-13 14:45:00,3291.4,3343,"Active",9.37,NA
"275","HCLTECH.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-13 14:45:00,1243.45,1265.35,"Active",3.06,NA
"15","TATAMOTORS.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-10-12 14:45:00,435.7,420.85,"Active",13.38,NA
"114","M&M.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-10-12 14:45:00,894.65,888,"Active",0.13,NA
"172","ADANIPORTS.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-10-12 14:45:00,740.95,736.9,"Active",6.12,NA
"177","MARUTI.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-12 14:45:00,7630.05,7693.8,"Active",0.8,NA
"197","CIPLA.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-12 14:45:00,907.85,915.95,"Active",0.04,NA
"206","HINDUNILVR.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-10-11 14:45:00,2665.5,2642.2,"Voided",-8.43,2021-10-19
"14","TATAMOTORS.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-10-08 14:45:00,397.55,382.95,"Active",24.22,NA
"84","TCS.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-10-08 14:45:00,3900,3935.65,"Active",9.51,NA
"168","ADANIPORTS.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-08 14:45:00,733.5,739.9,"Voided",-7.2,2021-10-13
"246","BPCL.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-10-08 14:45:00,452,449.45,"Voided",-0.31,2021-10-20
"25","ITC.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-10-07 14:45:00,232.3,233,"Voided",-4.91,2021-10-11
"213","INFY.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-10-07 14:45:00,1704.2,1687,"Voided",2.92,2021-10-12
"57","AXISBANK.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-06 14:45:00,776,782.25,"Voided",-2.6,2021-10-11
"153","IOC.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-10-06 14:45:00,134.9,130.1,"Active",-2.22,NA
"193","HDFC.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-06 14:45:00,2717,2750.95,"Voided",-4.02,2021-10-12
"202","HINDUNILVR.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-06 14:45:00,2676,2694.05,"Active",8.79,NA
"244","BPCL.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-06 14:45:00,445.15,447.2,"Voided",-1.22,2021-10-08
"41","TATASTEEL.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-10-05 14:45:00,1310.15,1316.85,"Voided",0.01,2021-10-12
