"","stock","pattern","strength","Date","zone_1","zone_2","fit","Percentage Change","Voided_Time"
"7","UPL.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-05-12 14:45:00,702.55,691.65,"Active",5.8,NA
"24","HDFCLIFE.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-05-12 14:45:00,665.1,671.25,"Active",-0.83,NA
"44","EICHERMOT.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-05-12 14:45:00,2438.15,2464,"Active",0.94,NA
"49","NESTLEIND.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-05-12 14:45:00,16857.4,16717.9,"Active",2.18,NA
"55","NTPC.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-05-12 14:45:00,111.75,114.2,"Active",0.31,NA
"105","GAIL.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-05-12 14:45:00,158.7,162.6,"Active",3.78,NA
"23","AXISBANK.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-05-11 14:45:00,703,707.35,"Active",2.56,NA
"50","BRITANNIA.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-05-11 14:45:00,3434.7,3413.8,"Active",1.94,NA
"99","HINDALCO.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-05-11 14:45:00,408.85,414.85,"Active",6.37,NA
"107","WIPRO.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-05-11 14:45:00,514.05,518.4,"Active",3.03,NA
"17","TATASTEEL.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-05-10 14:45:00,1229,1210,"Voided",-7.88,2021-05-12
"75","CIPLA.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-05-10 14:45:00,877.5,900.25,"Voided",-3.03,2021-05-14
"2","TATAMOTORS.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-05-07 14:45:00,305.95,302.75,"Active",2.06,NA
"63","MARUTI.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-05-07 14:45:00,6754.55,6679,"Active",-0.27,NA
"95","ASIANPAINT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-05-07 14:45:00,2541.5,2555,"Voided",-9.17,2021-05-11
"106","GAIL.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-05-07 14:45:00,152.65,150.25,"Active",0.03,NA
