Symbol,Yahoo Symbol,Company Name,Industry,Series,ISIN Code
3MINDIA,3MINDIA.NS,3M India Ltd.,CONSUMER GOODS,EQ,INE470A01017
ABB,ABB.NS,ABB India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE117A01022
POWERINDIA,POWERINDIA.NS,ABB Power Products and Systems India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE07Y701011
ACC,ACC.NS,ACC Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE012A01025
AIAENG,AIAENG.NS,AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE212H01026
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,METALS,EQ,INE702C01027
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,EQ,INE949L01017
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Ltd.,PHARMA,EQ,INE767A01016
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,CHEMICALS,EQ,INE769A01020
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,FINANCIAL SERVICES,EQ,INE216P01012
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,PHARMA,EQ,INE358A01014
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,METALS,EQ,INE423A01024
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,POWER,EQ,INE364U01010
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,SERVICES,EQ,INE742F01042
ATGL,ATGL.NS,Adani Total Gas Ltd.,OIL & GAS,EQ,INE399L01023
ADANITRANS,ADANITRANS.NS,Adani Transmission Ltd.,POWER,EQ,INE931S01010
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,EQ,INE674K01013
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,EQ,INE647O01011
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,CONSUMER GOODS,EQ,INE837H01020
AEGISCHEM,AEGISCHEM.NS,Aegis Logistics Ltd.,SERVICES,EQ,INE208C01025
AFFLE,AFFLE.NS,Affle (India) Ltd.,IT,EQ,INE00WC01019
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,PHARMA,EQ,INE031B01049
AKZOINDIA,AKZOINDIA.NS,Akzo Nobel India Ltd.,CONSUMER GOODS,EQ,INE133A01011
ALEMBICLTD,ALEMBICLTD.NS,Alembic Ltd.,PHARMA,EQ,INE426A01027
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Ltd.,PHARMA,EQ,INE901L01018
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,PHARMA,EQ,INE540L01014
ALKYLAMINE,ALKYLAMINE.NS,Alkyl Amines Chemicals Ltd.,CHEMICALS,EQ,INE150B01021
ALOKINDS,ALOKINDS.NS,Alok Industries Ltd.,TEXTILES,EQ,INE270A01029
AMARAJABAT,AMARAJABAT.NS,Amara Raja Batteries Ltd.,AUTOMOBILE,EQ,INE885A01032
AMBER,AMBER.NS,Amber Enterprises India Ltd.,CONSUMER GOODS,EQ,INE371P01015
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE079A01024
ANGELBRKG,ANGELBRKG.NS,Angel Broking Ltd.,FINANCIAL SERVICES,EQ,INE732I01013
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,EQ,INE437A01024
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,AUTOMOBILE,EQ,INE438A01022
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Ltd.,AUTOMOBILE,EQ,INE439A01020
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,AUTOMOBILE,EQ,INE208A01029
ASHOKA,ASHOKA.NS,Ashoka Buildcon Ltd.,CONSTRUCTION,EQ,INE442H01029
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,CONSUMER GOODS,EQ,INE021A01026
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE914M01019
ASTRAZEN,ASTRAZEN.NS,AstraZenca Pharma India Ltd.,PHARMA,EQ,INE203A01020
ASTRAL,ASTRAL.NS,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE006I01046
ATUL,ATUL.NS,Atul Ltd.,CHEMICALS,EQ,INE100A01010
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,PHARMA,EQ,INE406A01037
AVANTIFEED,AVANTIFEED.NS,Avanti Feeds Ltd.,CONSUMER GOODS,EQ,INE871C01038
DMART,DMART.NS,Avenue Supermarts Ltd.,CONSUMER SERVICES,EQ,INE192R01011
