"","stock","pattern","strength","Date","zone_1","zone_2","fit","Percentage Change","Voided_Time"
"26","ADANIENT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,1538.25,1559.9,"Active",-0.44,NA
"37","ADANIPORTS.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,753,746.85,"Active",-0.44,NA
"79","ASHOKLEY.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,122.15,121.1,"Active",2.58,NA
"88","ASTERDM.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,222.4,219.75,"Active",2.18,NA
"125","BALAMINES.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-09-08 14:45:00,4410,4242.3,"Active",-2.05,NA
"135","BANKINDIA.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,57.3,57.95,"Active",0.17,NA
"212","CENTURYPLY.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-09-08 14:45:00,408,419.7,"Active",-0.78,NA
"224","CHAMBLFERT.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,309.65,313.25,"Active",1.23,NA
"237","COCHINSHIP.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,366,372.75,"Active",-0.71,NA
"247","COROMANDEL.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,793.7,789.1,"Active",2.61,NA
"260","DCMSHRIRAM.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,933.25,921.05,"Active",1.71,NA
"378","GODREJIND.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,560,565,"Active",0.04,NA
"405","FLUOROCHEM.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,1655,1665.2,"Active",0.81,NA
"474","HINDCOPPER.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,116.1,117.3,"Active",0.17,NA
"569","INDIGO.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,1924.55,1958,"Active",0.67,NA
"717","MINDACORP.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,124.5,125.15,"Active",0.32,NA
"722","MOTILALOFS.NS","Supply Continuous Pattern(D-B-D)","Strong",2021-09-08 14:45:00,800.05,805.4,"Active",1.84,NA
"743","NCC.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,78.9,76.95,"Active",-0.25,NA
"755","NOCIL.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,279,276,"Active",1.63,NA
"760","NH.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,530,524,"Active",1.64,NA
"783","ONGC.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,119.5,118.95,"Active",2.22,NA
"808","PVR.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,1387,1353.3,"Active",-0.36,NA
"847","PGHH.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-09-08 14:45:00,14400,13764.05,"Active",-1.53,NA
"895","SRF.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,10244,10171.9,"Active",0.83,NA
"907","SEQUENT.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,231.1,227.9,"Active",2.19,NA
"934","SONATSOFTW.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,855.25,843.9,"Active",-0.04,NA
"985","TCIEXP.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,1464,1441,"Active",2.67,NA
"1014","TATAMTRDVR.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-08 14:45:00,140.1,138.55,"Active",0.61,NA
"1039","THYROCARE.NS","Demand Continuous Pattern(R-B-R)","Normal",2021-09-08 14:45:00,1259.9,1241.15,"Active",1.09,NA
"1057","UCOBANK.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,12.75,12.85,"Voided",-11.37,2021-09-09
"1078","VMART.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-08 14:45:00,3487.55,3560,"Active",0.35,NA
"1086","VAIBHAVGBL.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-08 14:45:00,795,778.4,"Active",-0.25,NA
"1108","VOLTAS.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-09-08 14:45:00,1217.9,1194.65,"Active",-0.39,NA
"24","ABBOTINDIA.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-07 14:45:00,19896.75,19711.55,"Active",4.07,NA
"161","BSOFT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,409.65,411.45,"Active",1.46,NA
"170","BLUESTARCO.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-09-07 14:45:00,836.85,815,"Active",-0.53,NA
"175","BOSCHLTD.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,14119.55,14360.6,"Active",-1.48,NA
"216","CERA.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-07 14:45:00,4383,4295.05,"Active",-0.59,NA
"256","DCBBANK.NS","Supply Reversal Pattern(R-B-D)","Normal",2021-09-07 14:45:00,94.5,97,"Active",0.63,NA
"286","DIVISLAB.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,5180,5220.95,"Active",2.42,NA
"321","ESCORTS.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-09-07 14:45:00,1351.85,1397.4,"Active",-1.78,NA
"358","GHCL.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-07 14:45:00,372,367.85,"Active",2.57,NA
"409","GUJGASLTD.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,677,695.85,"Active",-0.44,NA
"417","GPPL.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,99.7,100.7,"Voided",-1.4,2021-09-09
"540","IEX.NS","Demand Continuous Pattern(R-B-R)","Strong",2021-09-07 14:45:00,584.6,564.1,"Active",2.44,NA
"542","IOC.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-07 14:45:00,112.45,111.6,"Active",0.31,NA
"568","INTELLECT.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,634,646.45,"Active",0.33,NA
"575","JKCEMENT.NS","Supply Reversal Pattern(R-B-D)","Strong",2021-09-07 14:45:00,3527.95,3545.1,"Active",0.83,NA
"615","KEI.NS","Demand Reversal Pattern(D-B-R)","Strong",2021-09-07 14:45:00,793.8,775,"Active",0,NA
"634","KOTAKBANK.NS","Demand Reversal Pattern(D-B-R)","Normal",2021-09-07 14:45:00,1779.45,1764.85,"Active",2.16,NA
"685","MAHINDCIE.NS","Supply Continuous Pattern(D-B-D)","Normal",2021-09-07 14:45:00,220.4,225,"Voided",-7.42,2021-09-09
